species,genus,total_diseased_percent,healthy_count,total_diseased_count,unknown_count
Meandrina danae,Meandrina,0.0,41,0,474
Mycetophyllia spp,Mycetophyllia,0.0,4,0,317
Orbicella faveolata,Orbicella,0.05009107468123861,1043,55,384
Madracis auretenra,Madracis,0.0,9,0,438
Porites furcata,Porites,0.0049261083743842365,202,1,527
Manicina areolata,Manicina,0.0,8,0,432
Oculina diffusa,Oculina,0.0,2,0,331
Dichocoenia stokesii,Dichocoenia,0.022099447513812154,177,4,479
Solenastrea bournoni,Solenastrea,0.0,57,0,575
Montastraea cavernosa,Montastraea,0.021688613477924088,1263,28,234
Agaricia fragilis,Agaricia,0.0136986301369863,72,1,566
Madracis pharensis,Madracis,0.0,4,0,266
Acropora palmata,Acropora,0.06896551724137931,27,2,591
Agaricia humilis,Agaricia,0.006211180124223602,320,2,521
Colpophyllia natans,Colpophyllia,0.021052631578947368,93,2,537
Porites porites,Porites,0.0022123893805309734,451,1,441
Meandrina spp,Meandrina,0.0,1,0,158
Acropora cervicornis,Acropora,0.08433734939759036,76,7,572
Madracis formosa,Madracis,0.0,17,0,263
Agaricia agaricites,Agaricia,0.007060333761232349,1547,11,286
Mycetophyllia aliciae,Mycetophyllia,0.0,11,0,434
Agaricia spp,Agaricia,0.0,22,0,425
Orbicella franksi,Orbicella,0.022172949002217297,441,10,499
Mycetophyllia ferox,Mycetophyllia,0.0,8,0,597
Porites spp,Porites,0.0,17,0,483
Siderastrea spp,Siderastrea,0.0,4,0,109
Stephanocoenia intersepta,Stephanocoenia,0.023391812865497075,501,12,341
Porites astreoides,Porites,0.01049700085689803,4619,49,121
Acropora prolifera,Acropora,0.0,3,0,110
Madracis senaria,Madracis,0.0,4,0,271
Porites divaricata,Porites,0.013043478260869565,227,3,531
Isophyllastrea rigida,Isophyllastrea,0.0,6,0,426
Madracis carmabi,Madracis,0.0,1,0,161
Mycetophyllia danaana,Mycetophyllia,0.0,4,0,158
Siderastrea siderea,Siderastrea,0.11938266000907853,1940,263,140
Agaricia lamarcki,Agaricia,0.007936507936507936,125,1,551
Pseudodiploria clivosa,Pseudodiploria,0.020942408376963352,187,4,540
Siderastrea radians,Siderastrea,0.05198776758409786,310,17,492
Madracis spp,Madracis,0.0,7,0,427
Madracis decactis,Madracis,0.003401360544217687,293,1,472
Mussa angulosa,Mussa,0.0,4,0,317
Orbicella annularis species complex,Orbicella,0.5,1,1,319
Favia fragum,Favia,0.0,18,0,591
Orbicella spp,Orbicella,0.2,4,1,270
Pseudodiploria strigosa,Pseudodiploria,0.02441077441077441,1159,29,266
Helioceris cucullata,Helioceris,0.0,110,0,542
Scolymia cubensis,Scolymia,0.0,5,0,596
Other coral,Other,0.0,2,0,332
Meandrina jacksoni,Meandrina,0.0,39,0,415
Meandrina meandrites,Meandrina,0.013114754098360656,301,4,450
Diploria labyrinthiformis,Diploria,0.01818181818181818,162,3,508
Tubastraea coccinea,Tubastraea,0.0,4,0,269
Porites branneri,Porites,0.0,2,0,169
Agaricia grahamae,Agaricia,0.0,112,0,572
Isophyllia sinuosa,Isophyllia,0.0,3,0,270
Scolymia spp,Scolymia,0.0,1,0,270
Undaria spp,Undaria,0.08,23,2,145
Orbicella annularis,Orbicella,0.0335195530726257,346,12,493
Mycetophyllia lamarckiana,Mycetophyllia,0.0,2,0,268
Dendrogyra cylindrus,Dendrogyra,0.047619047619047616,20,1,585
Eusmilia fastigiata,Eusmilia,0.0,48,0,562
Agaricia tenuifolia,Agaricia,0.0,29,0,481
